Date,AAPL,MSFT,GOOG,AMZN,DB
2013-03-25,59.559242000000005,24.543756,402.204041,256.019989,35.131508000000004
2013-03-26,59.245746999999994,24.543756,403.585083,260.309998,35.044456
2013-03-27,58.081753000000006,24.726788,398.736603,265.299988,34.008617
2013-03-28,56.871506000000004,24.935972,394.528961,266.48999,34.052143
2013-04-01,55.104954000000006,24.935972,398.006348,261.609985,33.703959999999995
2013-04-02,55.218014000000004,25.101570000000002,403.89306600000003,263.320007,34.800728
2013-04-03,55.500668000000005,24.892389,400.49517799999995,259.02999900000003,34.156597
2013-04-04,54.952056999999996,24.927254,394.966125,259.079987,34.339394
2013-04-05,54.371345999999996,25.014416,388.994965,255.479996,34.513484999999996
2013-04-08,54.75806800000001,24.918541,384.921448,258.950012,34.617939
2013-04-09,54.856991,25.807558,386.312408,261.140015,35.584145
2013-04-10,55.976028,26.391515999999996,392.536926,264.769989,36.759258
2013-04-11,55.801292000000004,25.223593,392.641235,269.850006,36.776661
2013-04-12,55.219299,25.092857000000002,392.472351,272.869995,35.984547
2013-04-15,53.940952,25.005695000000003,388.43856800000003,267.72000099999997,34.870369000000004
2013-04-16,54.761917000000004,25.249744,394.12161299999997,272.339996,35.871387
2013-04-17,51.750431,25.127722,388.751556,267.399994,34.382912
2013-04-18,50.369308000000004,25.092857000000002,380.480347,259.420013,33.503754
2013-04-19,50.174019,25.947004,397.350616,260.320007,34.165302000000004
2013-04-22,51.219822,26.870886,397.469849,263.549988,34.678867
2013-04-23,52.178249,26.670425,401.339661,268.899994,35.845276
2013-04-24,52.092175,27.681456,404.096741,268.77999900000003,36.750549
2013-04-25,52.467318999999996,27.838343,401.935791,274.700012,36.942046999999995
2013-04-26,53.600491000000005,27.707603000000002,398.12060499999995,254.809998,36.794067
2013-04-29,55.260406,28.4223,406.883606,249.74000499999997,38.169388
2013-04-30,56.886917000000004,28.849375,409.620819,253.809998,40.084381
2013-05-01,56.438534,28.518172999999997,407.56417799999997,248.229996,39.910297
2013-05-02,57.238953,28.901676000000002,412.124542,252.55000299999998,40.772040999999994
2013-05-03,57.811966000000005,29.189299,420.12747199999995,258.049988,41.659904
2013-05-06,59.19051700000001,29.415909000000003,427.991333,255.72000099999997,41.825291
2013-05-07,58.927139000000004,29.03241,425.84527599999996,257.730011,42.469425
2013-05-08,59.59264399999999,28.753504,433.99231,258.679993,42.486835
2013-05-09,59.072739,28.465876,432.92425499999996,260.160004,41.773064
2013-05-10,58.581303000000005,28.492027,437.270966,263.630005,41.346542
2013-05-13,58.810215,28.788364,435.929688,264.51001,40.893906
2013-05-14,57.403130000000004,29.429078999999998,440.68377699999996,268.329987,40.91132
2013-05-15,55.461929000000005,29.709944,454.98574800000006,266.559998,41.268196
2013-05-16,56.202983999999994,29.911819,449.014587,264.119995,40.615364
2013-05-17,56.032265,30.605186,451.65243499999997,269.899994,42.173473
2013-05-20,57.282856,30.789518,451.329529,267.630005,41.825291
2013-05-21,56.85995500000001,30.587633,450.554565,268.859985,41.294315000000005
2013-05-22,57.078518,30.376995,441.83627300000006,262.959991,40.832972999999996
2013-05-23,57.18069499999999,29.973251,438.54269400000004,261.799988,40.650180999999996
2013-05-24,57.569977,30.078583000000002,433.83828700000004,261.73999,40.486946
2013-05-28,57.09016,30.736851,437.78762800000004,267.290009,41.14542
2013-05-29,57.544093999999994,30.613965999999998,431.349487,265.52999900000003,41.08313
2013-05-30,58.401527,30.745615,432.566559,266.829987,41.990749
2013-05-31,58.16228100000001,30.631519,432.795074,269.200012,41.216606
2013-06-03,58.290314,31.237135,431.011688,266.880005,41.910667
2013-06-04,58.107967,30.710516,426.774231,265.700012,42.257698
